"PROVMUN","whichMax","Max","pcMax"
"21033","ABS",168,31.2267657992565
"21034","ABS",402,33.8383838383838
"21035","ABS",3674,38.2031818654466
"21036","PSOE",63,31.5
"21037","PSOE",176,37.2881355932203
"21038","ABS",402,36.7123287671233
"21039","PSOE",120,38.5852090032154
"21040","ABS",1099,34.6687697160883
"21041","ABS",41702,36.7940426508086
"21042","ABS",7820,50.9446254071661
"21043","PSOE",680,36.3442009620524
"21044","ABS",7033,39.980671934512
"21045","PSOE",86,34.5381526104418
"21046","ABS",709,41.58357771261
"21047","ABS",852,44.4444444444444
"21048","ABS",95,31.1475409836066
"21049","ABS",1377,40.9699494198155
"21050","ABS",4458,35.8735012472841
"21051","PSOE",79,33.0543933054393
"21052","ABS",1920,41.8939559240672
"21053","ABS",1209,36.45958986731
"21054","PP",2841,35.0740740740741
"21055","PP",2683,38.4659498207885
